City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Description
284,Pimentel,PE,-6.8367,-79.9342,70.09,64,20,19.57,few clouds
285,Nemencine,LT,54.85,25.4833,63.12,93,1,4.14,clear sky
286,Baft,IR,29.234,56.6057,67.93,75,100,4.07,moderate rain
287,Adrar,MR,20.5022,-10.0711,106.05,8,3,17.4,clear sky
288,Estevan,CA,49.1334,-102.9842,68.34,56,75,19.57,broken clouds
289,Yar-Sale,RU,66.8333,70.8333,54.32,64,0,8.68,clear sky
290,Njombe,TZ,-9.3333,34.7667,48.34,86,86,4.27,overcast clouds
291,Novyy Urengoy,RU,66.0833,76.6333,51.82,71,49,8.86,scattered clouds
292,Nuuk,GL,64.1835,-51.7216,47.88,76,18,8.99,few clouds
293,Chihuahua,MX,28.5,-106.0,82.04,38,66,14.47,broken clouds
294,Charters Towers,AU,-20.1,146.2667,51.48,48,0,9.66,clear sky
295,Caucaia,BR,-3.7361,-38.6531,84.15,72,20,13.8,few clouds
296,Uren,RU,57.4552,45.7852,62.15,92,4,4.94,clear sky
297,Hirtshals,DK,57.5881,9.9592,57.72,78,0,11.1,clear sky
298,Balikpapan,ID,-1.2675,116.8289,77.99,94,40,5.75,scattered clouds
299,Goderich,CA,43.7501,-81.7165,76.91,73,60,4.61,broken clouds
300,San Juan De La Maguana,DO,18.8059,-71.2299,80.69,66,61,11.03,broken clouds
301,Namuac,PH,18.6109,121.1657,79.75,85,100,3.18,overcast clouds
302,Tarakan,ID,3.3,117.6333,78.3,94,20,2.3,few clouds
303,Aripuana,BR,-9.1667,-60.6333,95.77,21,17,2.46,few clouds
304,Vestmannaeyjar,IS,63.4427,-20.2734,53.04,94,100,14.85,overcast clouds
305,Urengoy,RU,65.9667,78.3667,51.44,73,52,8.57,broken clouds
306,Acajutla,SV,13.5928,-89.8275,82.02,77,38,6.4,scattered clouds
307,Grindavik,IS,63.8424,-22.4338,53.55,93,100,18.41,overcast clouds
308,Teahupoo,PF,-17.8333,-149.2667,73.36,76,96,23.91,light rain
309,Horki,BY,54.2861,30.9842,60.6,93,100,4.27,light rain
310,Pandan,PH,14.0453,124.1694,80.87,85,100,6.4,overcast clouds
311,Palana,RU,59.1167,159.9667,49.08,94,99,3.2,light rain
312,Inhambane,MZ,-23.865,35.3833,60.78,87,20,5.01,few clouds
313,Siniscola,IT,40.5719,9.6922,81.95,54,0,5.99,clear sky
314,Namibe,AO,-15.1961,12.1522,63.57,90,23,3.71,few clouds
315,Richards Bay,ZA,-28.783,32.0377,65.79,90,56,6.82,light rain
316,Marrakesh,MA,31.6315,-8.0083,91.47,31,0,13.8,clear sky
317,Merauke,ID,-8.4667,140.3333,76.82,85,100,15.86,overcast clouds
318,Mount Isa,AU,-20.7333,139.5,47.97,43,0,3.44,clear sky
319,Chapleau,CA,47.8405,-83.4034,60.89,100,100,11.5,mist
320,Zempoala,MX,19.45,-96.4167,90.91,57,17,7.78,few clouds
321,Ambon,ID,-3.6954,128.1814,78.94,83,40,6.91,scattered clouds
322,Jiwani,PK,25.05,61.7417,82.24,82,100,8.39,overcast clouds
323,Jose De Freitas,BR,-4.7564,-42.5756,90.55,36,96,2.51,overcast clouds
324,Srednekolymsk,RU,67.45,153.6833,42.6,68,92,9.13,overcast clouds
325,Hailar,CN,49.2,119.7,64.2,86,100,7.52,overcast clouds
326,Havre-Saint-Pierre,CA,50.2334,-63.5986,62.96,77,100,19.57,overcast clouds
327,Tirumullaivasal,IN,11.2333,79.8333,81.95,77,93,4.41,moderate rain
328,Cimislia,MD,46.52,28.7842,75.34,74,12,2.53,few clouds
329,Tongling,CN,30.95,117.7833,80.85,86,100,2.82,overcast clouds
330,Iskitim,RU,54.6366,83.3045,64.26,80,100,4.12,overcast clouds
331,Yingkou,CN,40.6648,122.2283,74.14,81,100,5.1,overcast clouds
332,Haukipudas,FI,65.1765,25.3523,59.14,91,24,11.43,few clouds
333,Diego De Almagro,CL,-26.3667,-70.05,74.28,19,6,7.49,clear sky
334,Tupiza,BO,-21.45,-65.7167,75.69,9,26,6.8,scattered clouds
335,Margate,GB,51.3813,1.3862,64.31,71,100,3.0,overcast clouds
336,Ha Tinh,VN,18.3333,105.9,78.01,88,18,2.17,few clouds
337,Juquia,BR,-24.3208,-47.6347,74.52,63,71,2.15,broken clouds
338,Torbay,CA,47.6666,-52.7314,74.17,83,75,13.8,broken clouds
339,Codrington,AU,-38.2667,141.9667,44.83,78,50,5.73,scattered clouds
340,Alderwood Manor,US,47.822,-122.2821,89.71,52,41,1.01,scattered clouds
341,Lagoa,PT,39.05,-27.9833,72.77,88,95,12.48,overcast clouds
342,Bathsheba,BB,13.2167,-59.5167,88.41,94,40,20.71,scattered clouds
343,Det Udom,TH,14.906,105.0784,82.22,88,79,4.18,moderate rain
344,Matamoros,MX,25.5333,-103.25,93.29,26,56,8.1,broken clouds
345,Kavieng,PG,-2.5744,150.7967,82.09,74,65,16.93,broken clouds
346,Ugoofaaru,MV,5.6667,73.0,82.02,74,79,15.26,broken clouds
